Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","1990","1990","1000 persons","4588.951","X","International reliable sources",""
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","1990","1990","1000 persons","5629.14","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","1991","1991","1000 persons","5827.71","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","1991","1991","1000 persons","4633.28","X","International reliable sources",""
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","1992","1992","1000 persons","4686.298","X","International reliable sources",""
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","1992","1992","1000 persons","6019.369","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","1993","1993","1000 persons","6213.742","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","1993","1993","1000 persons","4737.46","X","International reliable sources",""
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","1994","1994","1000 persons","4786.069","X","International reliable sources",""
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","1994","1994","1000 persons","6410.41","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","1995","1995","1000 persons","6608.741","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","1995","1995","1000 persons","4831.842","X","International reliable sources",""
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","1996","1996","1000 persons","4874.725","X","International reliable sources",""
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","1996","1996","1000 persons","6808.754","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","1997","1997","1000 persons","7010.06","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","1997","1997","1000 persons","4914.933","X","International reliable sources",""
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","1998","1998","1000 persons","4951.762","X","International reliable sources",""
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","1998","1998","1000 persons","7212.123","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","1999","1999","1000 persons","7413.918","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","1999","1999","1000 persons","4984.773","X","International reliable sources",""
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","2000","2000","1000 persons","5013.641","X","International reliable sources",""
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","2000","2000","1000 persons","7614.955","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","2001","2001","1000 persons","7814.356","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","2001","2001","1000 persons","5038.399","X","International reliable sources",""
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","2002","2002","1000 persons","5082.637","X","International reliable sources",""
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","2002","2002","1000 persons","7989.423","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
